name,set,series,release_date,rarity,supertype,subtypes,types,hp,artist,market_price_usd
Gothorita,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Psychic,90,Aya Kusube,0.2
Dedenne ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Basic, Tera, ex",Psychic,170,aky CG Works,1.14
Mimikyu,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Basic,Psychic,70,Kagemaru Himeno,0.36
Primeape,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Fighting,110,Shin Nagasawa,0.07
Sudowoodo,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Basic,Fighting,110,Jerky,0.1
Larvitar,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,70,Haru Akasaka,0.14
Makuhita,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,90,Kurata So,0.22
Voltorb,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Lightning,70,sui,0.15
Electrode,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Lightning,90,Scav,0.05
Bellibolt ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Stage 1, ex",Lightning,280,PLANETA Yamashita,0.81
Kilowattrel,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Lightning,120,Pani Kobayashi,0.09
Slowking ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Stage 1, Tera, ex",Psychic,270,5ban Graphics,1.26
Gothita,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,70,0313,0.1
Oranguru,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Basic,Psychic,120,Toshinao Aoki,0.05
Sandygast,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,90,Shin Nagasawa,0.05
Tinkatink,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,60,Shibuzoh.,0.22
Tinkatink,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,70,Pani Kobayashi,0.26
Tinkaton,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 2,Psychic,140,Kouki Saitou,0.2
Paldean Tauros,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Basic,Fighting,130,Shin Nagasawa,0.21
Pupitar,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Fighting,90,Shigenori Negishi,0.17
Shinx,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Lightning,40,kurumitsu,0.2
Luxio,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Lightning,90,Narumi Sato,0.09
Luxray,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 2,Lightning,150,aoki,0.25
Pincurchin,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Lightning,80,Yuka Morii,0.28
Wattrel,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Lightning,60,Shibuzoh.,0.18
Slowpoke,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,80,sowsow,0.41
Mismagius,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Psychic,90,Atsushi Furusawa,0.05
Palossand,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Psychic,150,HYOGONOSUKE,0.23
Ceruledge,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 1,Psychic,140,Ryota Murayama,0.32
Rabsca,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 1,Psychic,70,Oswaldo KATO,0.19
Tinkatink,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,60,Mizue,0.23
Lycanroc ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Stage 1, ex",Fighting,260,kawayoo,1.01
Rockruff,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,70,0313,0.12
Hariyama,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 1,Fighting,140,Hasuno,0.29
Croagunk,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,70,kawayoo,0.12
Toxicroak,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Fighting,130,Yuya Oka,0.17
Passimian,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Basic,Fighting,110,Jerky,0.21
Falinks,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,110,kurumitsu,0.2
Nacli,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,60,yuu,0.06
Nacli,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,70,Shin Nagasawa,0.08
Garganacl,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 2,Fighting,180,Anesaki Dynamic,0.14
Paldean Wooper,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,60,Saya Tsuruta,0.18
Murkrow,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,60,Teeziro,0.11
Honchkrow,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Darkness,130,Nisota Niso,0.07
Weavile,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 1,Darkness,110,saino misaki,0.22
Sableye,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Basic,Darkness,70,Nagomi Nijo,0.09
Zweilous,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Darkness,100,nagimiso,0.1
Hydreigon,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 2,Darkness,180,Teeziro,0.22
Shroodle,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,60,Anesaki Dynamic,0.19
Copperajah ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Stage 1, ex",Metal,300,Uta,0.71
Glimmet,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,40,Mizue,0.07
Glimmora,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 1,Fighting,130,Shin Nagasawa,0.18
Seviper,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Basic,Darkness,110,Nisota Niso,0.18
Maschiff,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,60,DOM,0.21
Grafaiai,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Darkness,90,Souichirou Gunjima,0.09
Bombirdier,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Basic,Darkness,120,Sekio,0.17
Corviknight,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 2,Metal,170,Scav,0.18
Cufant,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Metal,100,Oswaldo KATO,0.05
Girafarig,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,100,kirisAki,0.21
Naclstack,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Fighting,100,GIDORA,0.1
Ting-Lu ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Basic, ex",Fighting,240,5ban Graphics,0.65
Paldean Wooper,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,60,Kouki Saitou,0.13
Sneasel,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,70,Kagemaru Himeno,0.1
Noibat,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Dragon,70,chibi,0.09
Glimmet,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Fighting,70,Sekio,0.04
Paldean Clodsire ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Stage 1, ex",Darkness,280,PLANETA Mochizuki,0.76
Tyranitar,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 2,Darkness,180,hncl,0.27
Deino,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,70,Narumi Sato,0.05
Maschiff,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,70,Shibuzoh.,0.06
Mabosstiff,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Darkness,140,Souichirou Gunjima,0.07
Shroodle,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Darkness,50,Akira Komayama,0.12
Orthworm,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Basic,Metal,130,Hitoshi Ariga,0.21
Noivern ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Stage 1, ex",Dragon,260,Nisota Niso,0.66
Dudunsparce,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Colorless,140,Mina Nakai,0.16
Wingull,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,70,Kouki Saitou,0.11
Slakoth,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,70,Shigenori Negishi,0.19
Vigoroth,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Colorless,90,GIDORA,0.06
Slaking,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 2,Colorless,180,Yuya Oka,0.27
Fletchling,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,60,sui,0.18
Dunsparce,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,70,Nagomi Nijo,0.29
Pelipper,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Colorless,120,Shinya Komatsu,0.22
Corvisquire,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Colorless,90,sui,0.09
Farigiraf,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Colorless,140,Kouki Saitou,0.12
Rookidee,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,60,Naoki Saito,0.12
Tandemaus,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,30,Oswaldo KATO,0.3
Tandemaus,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Colorless,40,Sekio,0.33
Maushold,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Stage 1,Colorless,60,Saya Tsuruta,0.27
Flamigo,Paldea Evolved,Scarlet & Violet,2023/06/09,Uncommon,Pokémon,Basic,Colorless,110,nagimiso,0.08
Squawkabilly ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Double Rare,Pokémon,"Basic, ex",Colorless,160,PLANETA Mochizuki,0.65
Tropius,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Grass,110,Jerky,17.22
Bramblin,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Grass,50,sowsow,11.04
Heracross,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Grass,130,Kurata So,33.47
Fletchinder,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Fire,80,Atsushi Furusawa,20.66
Pyroar,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Fire,120,Po-Suzuki,20.54
Fuecoco,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Fire,90,kantaro,58.94
Crocalor,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Fire,110,kantaro,19.48
Magikarp,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Water,30,Shinji Kanda,426.43
Sprigatito,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Grass,60,Kouki Saitou,65.63
Floragato,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Grass,90,Kouki Saitou,23.29
Frigibax,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Water,60,Tomokazu Komiya,26.03
Raichu,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Lightning,140,Toshinao Aoki,115.79
Arctibax,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Water,90,Tomokazu Komiya,19.32
Tinkatink,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Psychic,60,Tika Matsuno,32.78
Tinkatuff,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Psychic,90,Tika Matsuno,36.76
Nacli,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Fighting,70,Ryota Murayama,7.01
Tyranitar,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 2,Darkness,180,Nurikabe,76.91
Orthworm,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Metal,130,OKACHEKE,6.76
Rookidee,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Colorless,60,GOSSAN,11.89
Eiscue,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Water,110,Nelnal,22.93
Quaxwell,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Water,90,Souichirou Gunjima,10.75
Mismagius,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Psychic,90,aoki,40.89
Sandygast,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Psychic,90,Teeziro,10.97
Sudowoodo,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Fighting,110,Narumi Sato,29.66
Grafaiai,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Darkness,90,Oswaldo KATO,8.72
Maushold,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Colorless,60,Mizue,99.94
Marill,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Water,70,Atsuya Uki,60.88
Quaxly,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Water,60,Souichirou Gunjima,20.36
Baxcalibur,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 2,Water,160,Tomokazu Komiya,37.39
Gothorita,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Psychic,90,SIE NANAHARA,13.41
Rabsca,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Psychic,70,nagimiso,6.45
Paldean Tauros,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Fighting,130,Anesaki Dynamic,18.13
Paldean Wooper,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Darkness,60,Miki Tanaka,15.38
Forretress ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 1, Tera, ex",Grass,270,5ban Graphics,1.29
Dedenne ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Basic, Tera, ex",Psychic,170,aky CG Works,16.21
Copperajah ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 1, ex",Metal,300,Eske Yoshinob,1.05
Squawkabilly ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Basic, ex",Colorless,160,PLANETA Mochizuki,1.58
Wo-Chien ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Basic, ex",Grass,230,takuyoa,18.1
Wo-Chien ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Basic, ex",Grass,230,5ban Graphics,1.51
Quaquaval ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 2, ex",Water,320,5ban Graphics,1.75
Bellibolt ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 1, ex",Lightning,280,PLANETA Yamashita,4.21
Slowking ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 1, Tera, ex",Psychic,270,5ban Graphics,7.63
Ting-Lu ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Basic, ex",Fighting,240,5ban Graphics,1.4
Noivern ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 1, ex",Dragon,260,Eske Yoshinob,2.39
Meowscarada ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Stage 2, ex",Grass,310,Kouki Saitou,38.9
Quaquaval ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Stage 2, ex",Water,320,Souichirou Gunjima,15.9
Chien-Pao ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Basic, ex",Water,220,kodama,31.03
Ting-Lu ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Basic, ex",Fighting,240,KEIICHIRO ITO,11.9
Farigiraf,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Colorless,140,Mina Nakai,15.43
Chi-Yu ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Basic, ex",Fire,190,PLANETA Yamashita,3.73
Annihilape ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 2, ex",Fighting,320,PLANETA Hiiragi,4.96
Paldean Clodsire ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 1, ex",Darkness,280,PLANETA Mochizuki,2.94
Squawkabilly ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Basic, ex",Colorless,160,Amelicart,11.85
Flamigo,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Basic,Colorless,110,Shibuzoh.,10.89
Dudunsparce,Paldea Evolved,Scarlet & Violet,2023/06/09,Illustration Rare,Pokémon,Stage 1,Colorless,140,Saya Tsuruta,11.58
Meowscarada ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 2, ex",Grass,310,5ban Graphics,3.75
Skeledirge ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 2, ex",Fire,340,5ban Graphics,2.81
Chien-Pao ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Basic, ex",Water,220,aky CG Works,2.43
Tinkaton ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 2, ex",Psychic,300,takuyoa,10.94
Lycanroc ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Ultra Rare,Pokémon,"Stage 1, ex",Fighting,260,Ayaka Yoshida,2.14
Skeledirge ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Stage 2, ex",Fire,340,kantaro,39.36
Chi-Yu ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Basic, ex",Fire,190,AKIRA EGAWA,56.42
Tinkaton ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Special Illustration Rare,Pokémon,"Stage 2, ex",Psychic,300,Tika Matsuno,54.5
Quaquaval ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Hyper Rare,Pokémon,"Stage 2, ex",Water,320,5ban Graphics,6.17
Skeledirge ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Hyper Rare,Pokémon,"Stage 2, ex",Fire,340,5ban Graphics,6.38
Meowscarada ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Hyper Rare,Pokémon,"Stage 2, ex",Grass,310,5ban Graphics,9.79
Ting-Lu ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Hyper Rare,Pokémon,"Basic, ex",Fighting,240,5ban Graphics,3.79
Chien-Pao ex,Paldea Evolved,Scarlet & Violet,2023/06/09,Hyper Rare,Pokémon,"Basic, ex",Water,220,aky CG Works,5.98
Flaaffy,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Stage 1,Lightning,90,0313,2.34
Lucario ex,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,"Stage 1, ex",Fighting,260,5ban Graphics,5.98
Ampharos ex,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,"Stage 2, ex",Lightning,330,PLANETA Tsuji,4.83
Cyclizar ex,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,"Basic, ex",Colorless,210,5ban Graphics,0.57
Pelipper,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Stage 1,Colorless,120,Nisota Niso,2.0
Baxcalibur,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Stage 2,Water,160,Oswaldo KATO,3.25
Tinkaton,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Stage 2,Psychic,140,Anesaki Dynamic,5.26
Murkrow,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Basic,Darkness,60,Shiburingaru,2.67
Smoliv,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Basic,Grass,60,Misa Tsutsui,0.37
Tinkatink,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Basic,Psychic,70,Kouki Saitou,0.38
Pikachu,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Basic,Lightning,60,Atsushi Furusawa,21.89
Koraidon ex,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,"Basic, ex",Fighting,230,aky CG Works,0.6
Growlithe,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Basic,Fire,90,Uta,0.79
Varoom,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,Basic,Metal,60,Mina Nakai,0.42
Miraidon ex,Scarlet & Violet Black Star Promos,Scarlet & Violet,2023/01/01,Promo,Pokémon,"Basic, ex",Lightning,220,5ban Graphics,0.77
Surskit,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,60,Saya Tsuruta,0.17
Gloom,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Stage 1,Grass,80,Haru Akasaka,0.27
Oddish,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,50,Midori Harada,0.2
Phantump,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,60,Narumi Sato,0.2
Steenee,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Stage 1,Grass,90,nagimiso,0.2
Charmeleon,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 1,Fire,90,Ryota Murayama,0.38
Camerupt,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 1,Fire,140,Shiburingaru,0.24
Victini ex,Obsidian Flames,Scarlet & Violet,2023/08/11,Double Rare,Pokémon,"Basic, ex",Fire,190,Saki Hayashiro,1.02
Darmanitan,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 1,Fire,140,Yuya Oka,0.23
Scyther,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,80,Shin Nagasawa,0.2
Foongus,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,50,You Iribi,0.22
Capsakid,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,70,Pani Kobayashi,0.27
Scovillain,Obsidian Flames,Scarlet & Violet,2023/08/11,Rare,Pokémon,Stage 1,Grass,110,kodama,0.17
Numel,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Fire,90,Mizue,0.22
Darumaka,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Fire,80,Miki Tanaka,0.18
Combee,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,50,HYOGONOSUKE,0.22
Bellossom,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 2,Grass,130,sui,0.34
Shuckle,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,80,Kurata So,0.29
Masquerain,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 1,Grass,100,Haru Akasaka,0.23
Amoonguss,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 1,Grass,110,Nobuhiro Imagawa,0.19
Trevenant,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 1,Grass,140,Anesaki Dynamic,0.17
Decidueye ex,Obsidian Flames,Scarlet & Violet,2023/08/11,Double Rare,Pokémon,"Stage 2, ex",Grass,320,PLANETA Mochizuki,0.9
Bounsweet,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,60,Kurata So,0.23
Tsareena,Obsidian Flames,Scarlet & Violet,2023/08/11,Uncommon,Pokémon,Stage 2,Grass,160,Atsushi Furusawa,0.26
Smoliv,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Grass,50,Masako Tomii,0.11
Dolliv,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Stage 1,Grass,80,Mizue,0.23
Toedscruel ex,Obsidian Flames,Scarlet & Violet,2023/08/11,Double Rare,Pokémon,"Stage 1, ex",Grass,270,5ban Graphics,0.69
Vulpix,Obsidian Flames,Scarlet & Violet,2023/08/11,Common,Pokémon,Basic,Fire,60,0313,0.27
