set,series,rarity,subtypes,types,hp,artist,market_price_usd,log_market_price,release_year
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,80,sowsow,0.41,0.3435897043900769,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Psychic,90,Atsushi Furusawa,0.05,0.04879016416943201,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Psychic,150,HYOGONOSUKE,0.23,0.20701416938432615,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 1,Psychic,140,Ryota Murayama,0.32,0.2776317365982795,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 1,Psychic,70,Oswaldo KATO,0.19,0.173953307123438,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,60,Mizue,0.23,0.20701416938432615,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Stage 1, ex",Fighting,260,kawayoo,1.01,0.6981347220709844,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,70,0313,0.12,0.11332868530700317,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 1,Fighting,140,Hasuno,0.29,0.2546422183735807,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,70,kawayoo,0.12,0.11332868530700317,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Fighting,130,Yuya Oka,0.17,0.15700374880966475,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Basic,Fighting,110,Jerky,0.21,0.1906203596086497,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,110,kurumitsu,0.2,0.18232155679395462,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,60,yuu,0.06,0.058268908123975775,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,70,Shin Nagasawa,0.08,0.07696104113612832,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 2,Fighting,180,Anesaki Dynamic,0.14,0.1310282624064041,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,60,Saya Tsuruta,0.18,0.16551443847757338,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,60,Teeziro,0.11,0.10436001532424277,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Darkness,130,Nisota Niso,0.07,0.06765864847381481,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 1,Darkness,110,saino misaki,0.22,0.1988508587451652,2023
Paldea Evolved,Scarlet & Violet,Rare,Basic,Darkness,70,Nagomi Nijo,0.09,0.08617769624105233,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Darkness,100,nagimiso,0.1,0.09531017980432487,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 2,Darkness,180,Teeziro,0.22,0.1988508587451652,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,60,Anesaki Dynamic,0.19,0.173953307123438,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Stage 1, ex",Metal,300,Uta,0.71,0.5364933705145685,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,40,Mizue,0.07,0.06765864847381481,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 1,Fighting,130,Shin Nagasawa,0.18,0.16551443847757338,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Basic,Darkness,110,Nisota Niso,0.18,0.16551443847757338,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,60,DOM,0.21,0.1906203596086497,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Darkness,90,Souichirou Gunjima,0.09,0.08617769624105233,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Basic,Darkness,120,Sekio,0.17,0.15700374880966475,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 2,Metal,170,Scav,0.18,0.16551443847757338,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Metal,100,Oswaldo KATO,0.05,0.04879016416943201,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,100,kirisAki,0.21,0.1906203596086497,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Fighting,100,GIDORA,0.1,0.09531017980432487,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Basic, ex",Fighting,240,5ban Graphics,0.65,0.5007752879124893,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,60,Kouki Saitou,0.13,0.12221763272424921,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,70,Kagemaru Himeno,0.1,0.09531017980432487,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Dragon,70,chibi,0.09,0.08617769624105233,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,70,Sekio,0.04,0.039220713153281295,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Stage 1, ex",Darkness,280,PLANETA Mochizuki,0.76,0.5653138090500605,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 2,Darkness,180,hncl,0.27,0.23901690047049992,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,70,Narumi Sato,0.05,0.04879016416943201,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,70,Shibuzoh.,0.06,0.058268908123975775,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Darkness,140,Souichirou Gunjima,0.07,0.06765864847381481,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Darkness,50,Akira Komayama,0.12,0.11332868530700317,2023
Paldea Evolved,Scarlet & Violet,Rare,Basic,Metal,130,Hitoshi Ariga,0.21,0.1906203596086497,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Stage 1, ex",Dragon,260,Nisota Niso,0.66,0.5068176023684519,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Colorless,140,Mina Nakai,0.16,0.14842000511827327,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,70,Kouki Saitou,0.11,0.10436001532424277,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,70,Shigenori Negishi,0.19,0.173953307123438,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Colorless,90,GIDORA,0.06,0.058268908123975775,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 2,Colorless,180,Yuya Oka,0.27,0.23901690047049992,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,60,sui,0.18,0.16551443847757338,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,70,Nagomi Nijo,0.29,0.2546422183735807,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Colorless,120,Shinya Komatsu,0.22,0.1988508587451652,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Colorless,90,sui,0.09,0.08617769624105233,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Colorless,140,Kouki Saitou,0.12,0.11332868530700317,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,60,Naoki Saito,0.12,0.11332868530700317,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,30,Oswaldo KATO,0.3,0.26236426446749106,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Colorless,40,Sekio,0.33,0.2851789422336624,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Colorless,60,Saya Tsuruta,0.27,0.23901690047049992,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Basic,Colorless,110,nagimiso,0.08,0.07696104113612832,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Basic, ex",Colorless,160,PLANETA Mochizuki,0.65,0.5007752879124893,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Grass,110,Jerky,17.22,2.9025198918318122,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Grass,50,sowsow,11.04,2.488234439880675,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Grass,130,Kurata So,33.47,3.540089380528774,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Fire,80,Atsushi Furusawa,20.66,3.0754672415728446,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Fire,120,Po-Suzuki,20.54,3.0699116717282426,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Fire,90,kantaro,58.94,4.0933440618885175,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Fire,110,kantaro,19.48,3.019448800171307,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Water,30,Shinji Kanda,426.43,6.0577905322794585,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Grass,60,Kouki Saitou,65.63,4.199154926574446,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Grass,90,Kouki Saitou,23.29,3.190064743014081,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Water,60,Tomokazu Komiya,26.03,3.2969473602883563,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Lightning,140,Toshinao Aoki,115.79,4.760377450290474,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Water,90,Tomokazu Komiya,19.32,3.011605622710281,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Psychic,60,Tika Matsuno,32.78,3.519868911379654,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Psychic,90,Tika Matsuno,36.76,3.6312503412773,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Fighting,70,Ryota Murayama,7.01,2.080690761080268,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 2,Darkness,180,Nurikabe,76.91,4.355554314342767,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Metal,130,OKACHEKE,6.76,2.048982334195127,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Colorless,60,GOSSAN,11.89,2.556451816951096,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Water,110,Nelnal,22.93,3.175132901920282,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Water,90,Souichirou Gunjima,10.75,2.463853240590168,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Psychic,90,aoki,40.89,3.7350471349589434,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Psychic,90,Teeziro,10.97,2.482403519569882,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Fighting,110,Narumi Sato,29.66,3.422958873443668,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Darkness,90,Oswaldo KATO,8.72,2.2741856184723477,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Colorless,60,Mizue,99.94,4.614526280912116,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Water,70,Atsuya Uki,60.88,4.125197025704866,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Water,60,Souichirou Gunjima,20.36,3.061520014091994,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 2,Water,160,Tomokazu Komiya,37.39,3.6477970090127063,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Psychic,90,SIE NANAHARA,13.41,2.667922410011431,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Psychic,70,nagimiso,6.45,2.0082140323914683,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Fighting,130,Anesaki Dynamic,18.13,2.9512577834521614,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Darkness,60,Miki Tanaka,15.38,2.7960610784249234,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 1, Tera, ex",Grass,270,5ban Graphics,1.29,0.8285518175661483,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Basic, Tera, ex",Psychic,170,aky CG Works,16.21,2.845490610223448,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Metal,300,Eske Yoshinob,1.05,0.7178397931503169,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Basic, ex",Colorless,160,PLANETA Mochizuki,1.58,0.9477893989335261,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Basic, ex",Grass,230,takuyoa,18.1,2.9496883350525844,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Basic, ex",Grass,230,5ban Graphics,1.51,0.9202827531436926,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 2, ex",Water,320,5ban Graphics,1.75,1.0116009116784799,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Lightning,280,PLANETA Yamashita,4.21,1.6505798557652755,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 1, Tera, ex",Psychic,270,5ban Graphics,7.63,2.1552445050953364,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Basic, ex",Fighting,240,5ban Graphics,1.4,0.8754687373538999,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Dragon,260,Eske Yoshinob,2.39,1.220829921392359,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Stage 2, ex",Grass,310,Kouki Saitou,38.9,3.686376323895818,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Stage 2, ex",Water,320,Souichirou Gunjima,15.9,2.827313621929028,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Basic, ex",Water,220,kodama,31.03,3.466672963621067,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Basic, ex",Fighting,240,KEIICHIRO ITO,11.9,2.5572273113676265,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Colorless,140,Mina Nakai,15.43,2.799108932049177,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Basic, ex",Fire,190,PLANETA Yamashita,3.73,1.5539252025038417,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 2, ex",Fighting,320,PLANETA Hiiragi,4.96,1.7850704810772584,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Darkness,280,PLANETA Mochizuki,2.94,1.3711807233098425,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Basic, ex",Colorless,160,Amelicart,11.85,2.553343811341229,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Basic,Colorless,110,Shibuzoh.,10.89,2.4756977107026907,2023
Paldea Evolved,Scarlet & Violet,Illustration Rare,Stage 1,Colorless,140,Saya Tsuruta,11.58,2.5321082512722946,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 2, ex",Grass,310,5ban Graphics,3.75,1.55814461804655,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 2, ex",Fire,340,5ban Graphics,2.81,1.3376291891386096,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Basic, ex",Water,220,aky CG Works,2.43,1.2325602611778486,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 2, ex",Psychic,300,takuyoa,10.94,2.479894107964456,2023
Paldea Evolved,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Fighting,260,Ayaka Yoshida,2.14,1.144222799920162,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Stage 2, ex",Fire,340,kantaro,39.36,3.6978391954854084,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Basic, ex",Fire,190,AKIRA EGAWA,56.42,4.050392674692918,2023
Paldea Evolved,Scarlet & Violet,Special Illustration Rare,"Stage 2, ex",Psychic,300,Tika Matsuno,54.5,4.0163830207523885,2023
Paldea Evolved,Scarlet & Violet,Hyper Rare,"Stage 2, ex",Water,320,5ban Graphics,6.17,1.969905654611529,2023
Paldea Evolved,Scarlet & Violet,Hyper Rare,"Stage 2, ex",Fire,340,5ban Graphics,6.38,1.998773638612381,2023
Paldea Evolved,Scarlet & Violet,Hyper Rare,"Stage 2, ex",Grass,310,5ban Graphics,9.79,2.378619779270043,2023
Paldea Evolved,Scarlet & Violet,Hyper Rare,"Basic, ex",Fighting,240,5ban Graphics,3.79,1.5665304114228238,2023
Paldea Evolved,Scarlet & Violet,Hyper Rare,"Basic, ex",Water,220,aky CG Works,5.98,1.943048916774281,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Stage 1,Lightning,90,0313,2.34,1.205970806988609,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,"Stage 1, ex",Fighting,260,5ban Graphics,5.98,1.943048916774281,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,"Stage 2, ex",Lightning,330,PLANETA Tsuji,4.83,1.763017000362401,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,"Basic, ex",Colorless,210,5ban Graphics,0.57,0.4510756193602167,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Stage 1,Colorless,120,Nisota Niso,2.0,1.0986122886681096,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Stage 2,Water,160,Oswaldo KATO,3.25,1.4469189829363254,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Stage 2,Psychic,140,Anesaki Dynamic,5.26,1.8341801851120072,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Basic,Darkness,60,Shiburingaru,2.67,1.3001916620664788,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Basic,Grass,60,Misa Tsutsui,0.37,0.31481073984003355,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Basic,Psychic,70,Kouki Saitou,0.38,0.32208349916911333,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Basic,Lightning,60,Atsushi Furusawa,21.89,3.130700133964475,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,"Basic, ex",Fighting,230,aky CG Works,0.6,0.4700036292457356,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Basic,Fire,90,Uta,0.79,0.5822156198526637,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,Basic,Metal,60,Mina Nakai,0.42,0.35065687161316933,2023
Scarlet & Violet Black Star Promos,Scarlet & Violet,Promo,"Basic, ex",Lightning,220,5ban Graphics,0.77,0.5709795465857378,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,60,Saya Tsuruta,0.17,0.15700374880966475,2023
Obsidian Flames,Scarlet & Violet,Common,Stage 1,Grass,80,Haru Akasaka,0.27,0.23901690047049992,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,50,Midori Harada,0.2,0.18232155679395462,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,60,Narumi Sato,0.2,0.18232155679395462,2023
Obsidian Flames,Scarlet & Violet,Common,Stage 1,Grass,90,nagimiso,0.2,0.18232155679395462,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Fire,90,Ryota Murayama,0.38,0.32208349916911333,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Fire,140,Shiburingaru,0.24,0.2151113796169455,2023
Obsidian Flames,Scarlet & Violet,Double Rare,"Basic, ex",Fire,190,Saki Hayashiro,1.02,0.7030975114131134,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Fire,140,Yuya Oka,0.23,0.20701416938432615,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,80,Shin Nagasawa,0.2,0.18232155679395462,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,50,You Iribi,0.22,0.1988508587451652,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,70,Pani Kobayashi,0.27,0.23901690047049992,2023
Obsidian Flames,Scarlet & Violet,Rare,Stage 1,Grass,110,kodama,0.17,0.15700374880966475,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fire,90,Mizue,0.22,0.1988508587451652,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fire,80,Miki Tanaka,0.18,0.16551443847757338,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,50,HYOGONOSUKE,0.22,0.1988508587451652,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 2,Grass,130,sui,0.34,0.29266961396282,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,80,Kurata So,0.29,0.2546422183735807,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Grass,100,Haru Akasaka,0.23,0.20701416938432615,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Grass,110,Nobuhiro Imagawa,0.19,0.173953307123438,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Grass,140,Anesaki Dynamic,0.17,0.15700374880966475,2023
Obsidian Flames,Scarlet & Violet,Double Rare,"Stage 2, ex",Grass,320,PLANETA Mochizuki,0.9,0.6418538861723948,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,60,Kurata So,0.23,0.20701416938432615,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 2,Grass,160,Atsushi Furusawa,0.26,0.23111172096338664,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,50,Masako Tomii,0.11,0.10436001532424277,2023
Obsidian Flames,Scarlet & Violet,Common,Stage 1,Grass,80,Mizue,0.23,0.20701416938432615,2023
Obsidian Flames,Scarlet & Violet,Double Rare,"Stage 1, ex",Grass,270,5ban Graphics,0.69,0.5247285289349821,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fire,60,0313,0.27,0.23901690047049992,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,70,Tomokazu Komiya,0.28,0.2468600779315258,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Grass,90,sui,0.16,0.14842000511827327,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 2,Grass,140,KEIICHIRO ITO,0.17,0.15700374880966475,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Grass,50,Shin Nagasawa,0.1,0.09531017980432487,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fire,60,DOM,0.37,0.31481073984003355,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Fire,120,Yoshioka,0.49,0.3987761199573678,2023
Obsidian Flames,Scarlet & Violet,Rare,Basic,Fire,130,toriyufu,0.28,0.2468600779315258,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fire,60,Nagomi Nijo,0.14,0.1310282624064041,2023
Obsidian Flames,Scarlet & Violet,Double Rare,"Basic, ex, Tera",Fire,210,5ban Graphics,0.84,0.6097655716208943,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Basic,Water,110,matazo,0.16,0.14842000511827327,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Water,70,Jerky,0.09,0.08617769624105233,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Water,150,Misa Tsutsui,0.22,0.1988508587451652,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Water,60,Pani Kobayashi,0.19,0.173953307123438,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Water,50,kodama,0.16,0.14842000511827327,2023
Obsidian Flames,Scarlet & Violet,Rare,Stage 1,Water,150,Souichirou Gunjima,0.1,0.09531017980432487,2023
Obsidian Flames,Scarlet & Violet,Common,Stage 1,Lightning,90,kurumitsu,0.21,0.1906203596086497,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 2,Lightning,170,Anesaki Dynamic,0.13,0.12221763272424921,2023
Obsidian Flames,Scarlet & Violet,Rare,Basic,Lightning,110,GOSSAN,0.27,0.23901690047049992,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Lightning,70,AKIRA EGAWA,0.14,0.1310282624064041,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Lightning,50,kirisAki,0.16,0.14842000511827327,2023
Obsidian Flames,Scarlet & Violet,Double Rare,"Stage 1, ex",Psychic,260,Satoshi Shirai,0.97,0.6780335427498971,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Psychic,110,Cona Nitanda,0.31,0.27002713721306015,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Psychic,130,Lee HyunJung,0.25,0.22314355131420976,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Psychic,70,Scav,0.17,0.15700374880966475,2023
Obsidian Flames,Scarlet & Violet,Rare,Stage 1,Psychic,120,Shigenori Negishi,0.22,0.1988508587451652,2023
Obsidian Flames,Scarlet & Violet,Double Rare,"Stage 1, ex, Tera",Psychic,270,5ban Graphics,0.83,0.6043159668533296,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Psychic,30,Yuka Morii,0.33,0.2851789422336624,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fighting,50,OKACHEKE,0.22,0.1988508587451652,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fighting,70,Scav,0.08,0.07696104113612832,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Fighting,140,0313,0.23,0.20701416938432615,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fighting,90,Nagomi Nijo,0.18,0.16551443847757338,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Fighting,160,Misa Tsutsui,0.23,0.20701416938432615,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fighting,60,Jerky,0.23,0.20701416938432615,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Fighting,130,Mitsuhiro Arita,0.13,0.12221763272424921,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fighting,60,Sanosuke Sakuma,0.19,0.173953307123438,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Darkness,70,Pani Kobayashi,0.15,0.13976194237515868,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Darkness,140,Shin Nagasawa,0.38,0.32208349916911333,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Fire,110,otumami,0.12,0.11332868530700317,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 1,Water,110,Kouki Saitou,0.21,0.1906203596086497,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Water,70,OKUBO,0.22,0.1988508587451652,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Water,70,Mizue,0.19,0.173953307123438,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Water,90,kirisAki,0.18,0.16551443847757338,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Lightning,60,Masakazu Fukuda,0.17,0.15700374880966475,2023
Obsidian Flames,Scarlet & Violet,Double Rare,"Stage 2, ex, Tera",Lightning,340,5ban Graphics,1.17,0.7747271675523681,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Lightning,40,Kagemaru Himeno,0.14,0.1310282624064041,2023
Obsidian Flames,Scarlet & Violet,Common,Stage 1,Lightning,90,Souichirou Gunjima,0.13,0.12221763272424921,2023
Obsidian Flames,Scarlet & Violet,Uncommon,Stage 2,Lightning,160,Masakazu Fukuda,0.16,0.14842000511827327,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Lightning,60,Shin Nagasawa,0.14,0.1310282624064041,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Psychic,30,kurumitsu,0.44,0.36464311358790924,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Psychic,60,Yuka Morii,0.45,0.37156355643248307,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Psychic,50,Natsumi Yoshida,0.32,0.2776317365982795,2023
Obsidian Flames,Scarlet & Violet,Rare,Stage 2,Psychic,150,Cona Nitanda,0.28,0.2468600779315258,2023
Obsidian Flames,Scarlet & Violet,Common,Basic,Psychic,80,Sekio,0.25,0.22314355131420976,2023
